VideoAnalysis: Time (s),VideoAnalysis: X (m),VideoAnalysis: Y (m),VideoAnalysis: X Velocity (m/s),VideoAnalysis: Y Velocity (m/s),VideoAnalysis: KE (J),VideoAnalysis: PE (J),VideoAnalysis: E (J)
7.166666667,-0.01049703888,1.270713751,0.04283192296,-1.55129264,0.3537568017,3.664916357,4.018673158
7.2,-0.007651111448,1.222804922,0.00219880072,-1.707759061,0.4287168285,3.526740587,3.955457416
7.233333333,-0.009681873738,1.160623553,-0.02856653293,-1.886964299,0.5234132371,3.347400813,3.87081405
7.266666667,-0.01285672746,1.101388219,0.02452646006,-2.177456264,0.6969734199,3.176557817,3.873531237
7.3,-0.007336486304,1.016582441,0.05806264015,-2.532172278,0.9425487777,2.931966083,3.87451486
7.333333333,-0.007922833163,0.9297029983,0.05983836539,-2.825405296,1.173488517,2.681393606,3.854882123
7.366666667,-0.001358608575,0.8334420055,0.001489702385,-3.255369157,1.557821967,2.403763426,3.961585393
7.4,-0.007350787447,0.7109098132,-0.07242337113,-3.640689617,1.94842927,2.050363429,3.998792699
7.433333333,-0.008194554878,0.5898363375,-0.09142005594,-4.012018792,2.366155334,1.701170574,4.067325908
7.466666667,-0.01364329032,0.4443222085,-0.09685449024,-4.316204101,2.738553823,1.281487455,4.020041278
7.5,-0.01555964347,0.296348283,-0.06768015874,-4.149071411,2.530574656,0.854709937,3.385284593
7.533333333,-0.01839126976,0.1258500575,-0.04102044486,-2.621995373,1.010604381,0.3629691847,1.373573566
7.566666667,-0.01817675262,0.05056884127,-0.02526535244,0.7837741362,0.09030237881,0.1458476179,0.2361499967
7.6,-0.01588856975,0.216075968,-0.1112509741,3.142163693,1.451359323,0.6231933423,2.074552665
7.633333333,-0.02712926807,0.3401955871,-0.1526051123,3.236992188,1.540283409,0.9811717007,2.521455109
7.666666667,-0.03177713951,0.4412760651,-0.04794458155,2.739133651,1.102919414,1.27270195,2.375621365
7.7,-0.02833056407,0.514025979,0.01432497813,2.289374625,0.7704617174,1.482522887,2.252984604
7.733333333,-0.02805884236,0.5930683958,0.005791962872,1.901110513,0.5312905138,1.710492283,2.241782797
7.766666667,-0.02838776864,0.6420784125,-0.006209079539,1.48927335,0.3260364615,1.851844033,2.177880494
7.8,-0.02838776864,0.6915460657,-0.02216677148,1.096301779,0.1766760058,1.99451567,2.171191676
7.833333333,-0.02983218407,0.7182462995,-0.03145059675,0.6353878611,0.0593465069,2.071522882,2.130869389
7.866666667,-0.03176283837,0.7294440944,-0.009915459072,0.2891095212,0.01228689434,2.10381889,2.116105785
7.9,-0.03081896293,0.7349500344,0.006888383827,-0.003587203342,1.89E-06,2.119698792,2.119700684
7.933333333,-0.02813034807,0.7358367053,-0.05851550967,-0.4551934607,0.03045855973,2.122256075,2.152714635
7.966666667,-0.03217757151,0.7058043052,-0.1805638466,-0.9239730071,0.1254977393,2.035638429,2.161136168
8,-0.0457779584,0.6670339068,-0.1532844166,-1.193311198,0.2093267675,1.923819172,2.13314594
8.033333333,-0.0457779584,0.6215562724,-0.03476369485,-1.330280394,0.2601379513,1.792655308,2.052793259
8.066666667,-0.04473397497,0.580082958,0.004326095725,-1.51745852,0.3384940127,1.673040463,2.011534475
8.1,-0.04254590011,0.5284701333,-0.04283192296,-1.90127736,0.5313837729,1.52418185,2.055565623
8.133333333,-0.04813764698,0.4540612868,-0.09101485689,-2.318084169,0.7899065896,1.30957632,2.099482909
8.166666667,-0.04899571555,0.3615471935,-0.1318207846,-2.456757585,0.887241701,1.042752723,1.929994424
8.2,-0.05688994643,0.2997233527,-0.1682648638,-2.667389584,1.045900178,0.8644441106,1.910344288
8.233333333,-0.06047953329,0.1832405439,-0.1929105,-2.610792811,1.001987148,0.5284913822,1.53047853
8.266666667,-0.07034732189,0.05670403157,-0.197010161,-0.7014114708,0.07232077355,0.1635423656,0.2358631392
8.3,-0.07448035219,0.1244342443,-0.1720546666,1.53973255,0.3485041197,0.3588857814,0.707389901
8.333333333,-0.08205995792,0.2196226514,-0.1322498189,2.184571083,0.7015355698,0.6334224738,1.334958044
8.366666667,-0.08389050421,0.2894122287,-0.07185132542,2.078980978,0.6353578001,0.8347053853,1.470063185
8.4,-0.08770890936,0.3626197792,0.003575285723,1.653569647,0.4019410089,1.04584621,1.447787219
8.433333333,-0.08240318535,0.4021767404,0.03789802867,1.145974415,0.193048832,1.159934024,1.352982856
8.466666667,-0.08195984992,0.4312795662,-0.02595657435,0.8343048411,0.1023214915,1.243870648,1.34619214
8.5,-0.08387620307,0.4588664709,-0.1017407141,0.5008141065,0.03686977108,1.323435143,1.360304914
8.533333333,-0.08836676194,0.46849114,-0.1789907209,0.06648839683,0.0006498439163,1.351194037,1.351843881
8.566666667,-0.09980767625,0.4627563817,-0.1425466418,-0.3640832628,0.01948582347,1.334654191,1.354140014
8.6,-0.09992208539,0.4469536188,-0.05042344632,-0.8566027064,0.1078639249,1.28907681,1.396940735
8.633333333,-0.09992208539,0.399931461,-0.03674201962,-1.188591821,0.207674326,1.153458324,1.36113265
8.666666667,-0.100880262,0.3650223712,-0.06489143588,-1.413703728,0.2937880598,1.052775622,1.346563681
8.7,-0.1058141563,0.3067738162,-0.06806152255,-1.645727854,0.3981377647,0.8847786342,1.282916399
8.733333333,-0.1058141563,0.24750988,-0.06154258492,-1.669205563,0.4095783402,0.7138531454,1.123431486
8.766666667,-0.1069725488,0.2030619279,-0.1232520165,-1.743356989,0.446776158,0.5856590288,1.032435187
8.8,-0.1160394734,0.120301214,-0.1338229446,-1.367558707,0.274921872,0.3469655434,0.6218874154
8.833333333,-0.1178700197,0.06445525102,-0.08801161689,0.2448951544,0.008816124589,0.1858979677,0.1947140923
8.866666667,-0.1205872369,0.1448276741,-0.07380581495,1.629186198,0.3901744073,0.4177032879,0.8078776952
8.9,-0.12400521,0.2212100783,-0.03240400627,1.69039509,0.4200430273,0.6380008351,1.058043862
8.933333333,-0.119400242,0.2662014738,-0.07269747637,1.342579377,0.2649703494,0.7677623187,1.032732668
8.966666667,-0.1302405083,0.3095911413,-0.08305388735,0.8733827141,0.1121312127,0.8929041944,1.005035407
9,-0.1284957689,0.3210034534,-0.0095579305,0.4935681941,0.03581060565,0.9258189,0.9616295057
9.033333333,-0.1252637106,0.351593598,-0.07194666637,-0.09080033975,0.00121197115,1.01404516,1.015257131
9.066666667,-0.1346166581,0.3085185556,-0.1027179588,-0.5236244294,0.04030483383,0.889810707,0.9301155409
9.1,-0.1346166581,0.3085185556,-0.075712634,-0.7408945428,0.08069193436,0.889810707,0.9705026414
9.133333333,-0.1375197901,0.272822903,-0.09397042643,-1.256760602,0.23217874,0.7868594474,1.019038187
9.166666667,-0.1422534684,0.2134588588,-0.07649919686,-1.458609317,0.3127485473,0.6156452331,0.9283937804
9.2,-0.1422534684,0.1675950936,-0.07487840066,-1.342388695,0.2648950891,0.4833677131,0.7482628023
9.233333333,-0.1463864987,0.1217885329,-0.09177758451,-1.021947754,0.15352345,0.3512551792,0.5047786292
9.266666667,-0.1485030678,0.06542772873,-0.1020029017,0.1825064186,0.004896363143,0.1887027296,0.1935990927
9.3,-0.154323633,0.1448705775,-0.08113515068,1.084801277,0.17298869,0.4178270274,0.5908157174
9.333333333,-0.1551960027,0.1717567261,-0.02513425863,1.043673573,0.1601204155,0.4953704441,0.6554908596
9.366666667,-0.1543951387,0.2122432617,-0.009462589547,0.906299178,0.1207425954,0.6121392807,0.7328818761
9.4,-0.1553533152,0.2410314623,-0.008437674307,0.4355293892,0.02788381978,0.6951684817,0.7230523015
9.433333333,-0.1553533152,0.2410314623,0.002371606196,-0.001501620004,3.31E-07,0.6951684817,0.6951688132
9.466666667,-0.1553533152,0.2410314623,0.01040408145,-0.4233257472,0.02634308918,0.6951684817,0.7215115709
9.5,-0.1553533152,0.2005878302,0.02929350769,-0.5109560003,0.03837817704,0.5785233846,0.6169015617
9.533333333,-0.1494755455,0.2049210765,-0.05255670013,-0.5384261123,0.04261569373,0.5910210736,0.6336367673
9.566666667,-0.1595435501,0.1765762113,-0.1156604931,-0.8022464458,0.09460910589,0.5092705141,0.6038796199
9.6,-0.160530329,0.1462434872,-0.08381661497,-0.8512278602,0.1065145639,0.4217866912,0.5283012551
9.633333333,-0.1651782004,0.0953886231,-0.04706267774,-0.2423686192,0.008635154492,0.2751141434,0.2837492979
9.666666667,-0.1651782004,0.1220316523,0.02509850578,0.5941767343,0.05189776077,0.3519563697,0.4038541304
9.7,-0.1581134358,0.1584709644,-0.03899444962,0.7792216058,0.0892563877,0.4570524473,0.546308835
9.733333333,-0.1684102587,0.1863009885,-0.08603329212,0.5528821842,0.04493477032,0.5373181329,0.5822529032
9.766666667,-0.1693684353,0.2016747171,-0.0007031395256,0.05712114824,0.0004796353597,0.5816581185,0.5821377539
9.8,-0.1656644393,0.1840271067,0.02029570529,-0.2822568902,0.01171133596,0.5307599396,0.5424712756
9.833333333,-0.1656644393,0.1840271067,-0.01463483623,-0.6233391482,0.05711709898,0.5307599396,0.5878770386
9.866666667,-0.1680813324,0.1343735386,-0.02238128863,-0.6934981717,0.07069813799,0.3875520977,0.4582502357
9.9,-0.1680813324,0.1343735386,-0.002085583339,-0.5827477376,0.04992045408,0.3875520977,0.4374725518
9.933333333,-0.1680813324,0.08707965907,0.01972365957,-0.1887870038,0.005239158322,0.2511499279,0.2563890862
9.966666667,-0.1672232638,0.1072013671,0.04355889773,0.5499266147,0.04445563439,0.309183751,0.3536393854
10,-0.1634906656,0.1408519564,0.01860340338,0.788004891,0.09127990111,0.4062367614,0.4975166625
10.03333333,-0.1634906656,0.1825969925,-0.06709619541,0.3796476733,0.02118745631,0.5266352898,0.5478227461
10.06666667,-0.1708986576,0.1656644393,-0.07714274829,-0.1166019851,0.001998615369,0.4777994359,0.4797980512
10.1,-0.1708986576,0.1656644393,-0.02469330673,-0.3929834891,0.02270209534,0.4777994359,0.5005015312
10.13333333,-0.1708986576,0.1439553044,-0.0009414919071,-0.6581266783,0.06367021653,0.4151872515,0.478857468
10.16666667,-0.1708986576,0.1103619197,0.0209273391,-0.5388908994,0.04268930002,0.3182992271,0.3609885271
10.2,-0.1708986576,0.08135920192,0.06801385207,0.2468138911,0.008954813235,0.2346513286,0.2436061419
10.23333333,-0.1646204558,0.1434833666,0.06801385207,0.6070596806,0.054172654,0.4138261171,0.4679987711
10.26666667,-0.1646204558,0.1489034998,0.02010502338,0.2182354405,0.007001126004,0.4294585399,0.4364596659
10.3,-0.1646204558,0.1489034998,0.00194257191,-0.04169974915,0.0002556137547,0.4294585399,0.4297141537
10.33333333,-0.1646204558,0.1489034998,-0.0123704886,-0.349937049,0.01800102292,0.4294585399,0.4474595628
10.36666667,-0.1656072347,0.1208303563,-0.01791218147,-0.455527154,0.03050323324,0.3484916638,0.3789948971
10.4,-0.1656072347,0.09927853396,-0.02888830864,-0.07717254234,0.0008754733897,0.2863331909,0.2872086643
10.43333333,-0.1676236958,0.1250920969,-0.04533462297,0.3688264752,0.01999684642,0.3607831203,0.3807799667